Ptolemy,label,Pleiades
pt_ll_1182,Egnatia (Ἐγνατία),442573
pt_ll_1183,Barion (Βάριον),442500
pt_ll_1187,Apenestai (Ἀπενέσται),446217
pt_ll_1191,Bouka (Βοῦκα),432727
pt_ll_1198,Koupra Maritima (Κοῦπρα Μαρίτιμα),413112
pt_ll_1200,Potentia (Ποτεντία),442735
pt_ll_1201,Noumana (Νουμάνα),413228
pt_ll_1204,Sēna Gallika (Σήνα Γάλλικα),413310
pt_ll_1205,Phanon Phortounai (Φᾶνον Φορτοῦναι),413129
pt_ll_1206,Pisauron (Πισαῦρον),413256
pt_ll_1207,Ariminon (Ἀρίμινον),393379
pt_ll_1208,Rhaouenna (Ῥαουέννα),393480
pt_ll_1883,Abdēra (Ἄβδηρα),501323
pt_ll_1884,Marōneia (Μαρώνεια),501507
pt_ll_1885,Ainos polis (Αἶνος πόλις),501337
pt_ll_1963,Stageira (Στάγειρα),501625
pt_ll_5698,Stratonikē (Στρατονίκη),507469
pt_ll_1969,Akanthos (Ἄκανθος),501339
pt_ll_1970,Siggos (Σίγγος),501613
pt_ll_1973,Torōnē (Τορώνη),501646
pt_ll_1978,Thessalonikē (Θεσσαλονίκη),491741
pt_ll_1990,Iōlkos (Ἰωλκός),540837
pt_ll_1991,Pagasai (Παγασαί),540998
pt_ll_1994,Larissa (Λάρισσα),540905
pt_ll_2060,Mieza (Μίεζα),491664
pt_ll_2064,Edessa (Ἔδεσσα),491585
pt_ll_2065,Beroia (Βέροια),491546
pt_ll_2066,Aigaia (Αἰγαία),491512
pt_ll_2067,Pella (Πέλλα),491688
pt_ll_2078,Larissa (Λάρισσα),540905
pt_ll_2079,Pherai (Φεραί),541044
pt_ll_2082,Gomphoi (Γόμφοι),540792
pt_ll_5703,Trikka (Τρίκκα),541163
pt_ll_2150,Siphai (Σῖφαι),541102
pt_ll_2153,Eleusis (Ἐλευσίς),579920
pt_ll_2164,Ōrōpos (Ὠρωπός),580044
pt_ll_2165,Aulis (Αὐλίς),579889
pt_ll_2167,Salganeus (Σαλγανεύς),541088
pt_ll_2168,Anthēdōn (Ἀνθηδών),540639
pt_ll_2169,Phōkai (Φῶκαι),541050
pt_ll_2185,Ōlenos (Ὤλενος),570528
pt_ll_2186,Kaludōn (Καλυδών),540699
