passage	continent	province	siteType	id	text	lonStr	latStr	lon	lonDeg	lonFract	lat	latDeg	latFract	adjustedLon	adjustedLat
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_5334	Στάχειρος ἢ Τράχιρος ποταμοῦ ἐκβολαί (Stakheiros ē Trakhiros potamou ekbolai)	θʹβ"	ιαʹ	9.5	9	0.5	11.0	11	0.0	-6.48	18.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_2945	Περφώσιος ἢ Περιφώσιος λιμήν  (Perphōsios ē Periphōsios limēn )	ιαʹ	ιʹβ"	11.0	11	0.0	10.5	10	0.5	-5.4	17.64
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_2946	Καθαρὸν ἄκρον  (Katharon akron )	ιβʹβ"	θʹβ"	12.5	12	0.5	9.5	9	0.5	-4.32	16.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_2947	Νία ποταμοῦ ἐκβολαί  (Nia potamou ekbolai )	ιγʹβ"	θʹ	13.5	13	0.5	9.0	9	0.0	-3.5999999999999996	16.560000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_5336	 Ἑσπερίου κέρας, ἄκρον  ( Hesperiou keras, akron )	ιγʹ	ηʹ	13.0	13	0.0	8.0	8	0.0	-3.960000000000001	15.84
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_2948	Μασσιθόλου ποταμοῦ ἐκβολαί  (Massitholou potamou ekbolai )	ιδʹ	ϛʹβ ϛ"	14.0	14	0.0	6.667	6	0.667	-3.24	14.879999999999999
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.7/	Libya	libya-interior	paralios	pt_ll_2949	Ὑπόδρομος Αἰθιοπίας  (Hupodromos Aithiopias )	ιδʹ	εʹδ"	14.0	14	0.0	5.25	5	0.25	-3.24	13.86
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.8/	Libya	libya-interior	mountains	pt_ll_5887	τὸ μέσον (to meson)	ιδʹ	ιθʹ	14.0	14	0.0	19.0	19	0.0	-3.24	23.759999999999998
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.8/	Libya	libya-interior	mountains	pt_ll_5888	τὸ καλούμενον Σαγάπολα ἢ Σαλάπολα ὄρος (to kaloumenon Sagapola ē Salapola oros)	ιγʹ	κβʹ	13.0	13	0.0	22.0	22	0.0	-3.960000000000001	25.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.8/	Libya	libya-interior	mountains	pt_ll_5889	τὸ Ῥυσσάδιον ὄρος (to Rhussadion oros)	ιζʹ	ιαʹ	17.0	17	0.0	11.0	11	0.0	-1.08	18.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.9/	Libya	libya-interior	mountains	pt_ll_5890	τὸ καλούμενον Θεῶν ὄχημα ὄρος (to kaloumenon Theōn okhēma oros)	ιθʹ	εʹ	19.0	19	0.0	5.0	5	0.0	0.35999999999999943	13.68
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.9/	Libya	libya-interior	mountains	pt_ll_5891	ὁ Κάφας ὄρος (ho Kaphas oros)	κζʹ	ιʹ	27.0	27	0.0	10.0	10	0.0	6.120000000000001	17.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.10/	Libya	libya-interior	rivers	pt_ll_5892	τὸ καλούμενον Οὐσάργαλα ἢ Σουσάργαλα ὄρος (to kaloumenon Ousargala ē Sousargala oros)	λγʹ	κʹβ"	33.0	33	0.0	20.5	20	0.5	10.440000000000001	24.84
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.10/	Libya	libya-interior	rivers	pt_ll_5893	εἰσβάλλει εἰς τὴν θάλασσαν κατὰ θέσιν (eisballei eis tēn thalassan kata thesin)	λδʹ	λβʹβ ϛ"	34.0	34	0.0	32.667	32	0.667	11.16	33.6
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.11/	Libya	libya-interior	rivers	pt_ll_5337	ὁ Κίνυψ ἢ Κίνιφος ποταμὸς (ho Kinups ē Kiniphos potamos)	μʹ	καʹ	40.0	40	0.0	21.0	21	0.0	15.48	25.2
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.11/	Libya	libya-interior	rivers	pt_ll_2950	καὶ  (kai )	μεʹ	καʹ	45.0	45	0.0	21.0	21	0.0	19.08	25.2
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.11/	Libya	libya-interior	rivers	pt_ll_2951	αἱ δὲ συναφαὶ τῶν δύο θέσεων  (hai de sunaphai tōn duo theseōn )	μβʹ	κεʹ	42.0	42	0.0	25.0	25	0.0	16.919999999999998	28.08
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.12/	Libya	libya-interior	mountains	pt_ll_5338	τὸ καλούμενον Θάλα ὄρος (to kaloumenon Thala oros)	ληʹ	ιʹ	38.0	38	0.0	10.0	10	0.0	14.04	17.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.12/	Libya	libya-interior	mountains	pt_ll_2952	 ἡ Γαραμαντικὴ φάραγξ  ( hē Garamantikē pharagx )	νʹ	ιʹ	50.0	50	0.0	10.0	10	0.0	22.68	17.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.12/	Libya	libya-interior	mountains	pt_ll_2953	 ὁ Ἀρουάλτης ὄρος  ( ho Aroualtēs oros )	λγʹ	γʹ	33.0	33	0.0	3.0	3	0.0	10.440000000000001	12.24
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.12/	Libya	libya-interior	mountains	pt_ll_2954	 ὁ Ἀράγκας ἢ Ἀράγγας ὄρος  ( ho Aragkas ē Araggas oros )	μζʹβ"	αʹβ  ιβ"	47.5	47	0.5	1.583	1	0.583	20.880000000000003	11.22
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.13/	Libya	libya-interior	rivers	pt_ll_5339	ὁ ἐκτραπεὶς ποταμὸς (ho ektrapeis potamos)	μβʹ	ιʹϛ"	42.0	42	0.0	10.167	10	0.167	16.919999999999998	17.4
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.13/	Libya	libya-interior	rivers	pt_ll_5340	 τὰς Χελωνίδας λίμνας ( tas Khelōnidas limnas)	μθʹ	κʹ	49.0	49	0.0	20.0	20	0.0	21.96	24.48
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.6.13/	Libya	libya-interior	rivers	pt_ll_5341	ἕτερον ποταμὸν (heteron potamon)	μϛʹ	ιϛʹ	46.0	46	0.0	16.0	16	0.0	19.799999999999997	21.6
