id,lon,lat
pt_ll_1,-5.4,54.0
pt_ll_2,-4.08,54.239999999999995
pt_ll_3,-3.960000000000001,54.0
pt_ll_4,-2.880000000000001,54.36
pt_ll_5,-1.5600000000000005,54.36
pt_ll_6,-5.4,54.0
pt_ll_7,-5.16,53.76
pt_ll_8,-5.220000000000001,53.46
pt_ll_9,-5.760000000000001,53.28
pt_ll_10,-5.760000000000001,52.92
pt_ll_11,-6.48,52.92
pt_ll_12,-6.36,52.32
pt_ll_13,-7.5600000000000005,51.839999999999996
pt_ll_14,-7.800000000000001,51.66
pt_ll_15,-7.800000000000001,51.66
pt_ll_16,-5.220000000000001,51.12
pt_ll_17,-4.32,51.48
pt_ll_18,-3.24,51.72
pt_ll_19,-3.24,51.72
pt_ll_20,-3.4800000000000004,52.32
pt_ll_21,-3.5999999999999996,52.32
pt_ll_22,-3.84,52.559999999999995
pt_ll_23,-3.24,52.92
pt_ll_24,-2.76,53.04
pt_ll_25,-2.5199999999999996,53.28
pt_ll_26,-2.5199999999999996,53.46
pt_ll_27,-2.280000000000001,53.76
pt_ll_28,-3.960000000000001,53.519999999999996
pt_ll_29,-4.68,53.1
pt_ll_30,-3.960000000000001,52.739999999999995
pt_ll_31,-5.040000000000001,52.32
pt_ll_32,-5.4,52.92
pt_ll_33,-4.32,52.379999999999995
pt_ll_34,-5.4,51.96
pt_ll_35,-2.5199999999999996,54.72
pt_ll_5143,-2.040000000000001,54.72
pt_ll_36,-1.08,54.72
pt_ll_37,-0.7200000000000006,55.08
pt_ll_38,0.0,54.72
pt_ll_39,-0.5999999999999996,54.36
pt_ll_40,-2.5199999999999996,51.6
pt_ll_41,-2.5199999999999996,52.92
pt_ll_42,-2.5199999999999996,52.559999999999995
pt_ll_43,1.799999999999999,54.48
pt_ll_44,1.4399999999999995,53.879999999999995
pt_ll_45,2.039999999999999,53.64
pt_ll_46,2.6999999999999993,52.8
pt_ll_47,3.960000000000001,53.28
pt_ll_48,3.2399999999999984,53.76
pt_ll_49,4.32,53.76
pt_ll_50,6.120000000000001,53.76
pt_ll_51,7.559999999999999,53.64
pt_ll_52,8.280000000000001,53.64
pt_ll_53,9.239999999999998,53.46
pt_ll_5761,1.08,54.48
pt_ll_54,0.5999999999999996,54.0
pt_ll_55,0.35999999999999943,53.64
pt_ll_56,-0.35999999999999943,53.28
pt_ll_57,-0.120000000000001,52.92
pt_ll_58,0.0,52.379999999999995
pt_ll_59,-0.7200000000000006,52.08
pt_ll_60,-0.8399999999999999,51.66
pt_ll_61,-0.7200000000000006,51.36
pt_ll_62,-1.08,51.12
pt_ll_63,-2.5199999999999996,50.4
pt_ll_64,-2.040000000000001,50.64
pt_ll_65,-2.280000000000001,50.04
pt_ll_66,-2.5199999999999996,49.68
