id,lon,lat
pt_ll_1,-5.4,43.92
pt_ll_2,-4.08,44.16
pt_ll_3,-3.960000000000001,43.92
pt_ll_4,-2.880000000000001,44.28
pt_ll_5,-1.5600000000000005,44.28
pt_ll_6,-5.4,43.92
pt_ll_7,-5.16,43.68
pt_ll_8,-5.220000000000001,43.38
pt_ll_9,-5.760000000000001,43.2
pt_ll_10,-5.760000000000001,42.84
pt_ll_11,-6.48,42.84
pt_ll_12,-6.36,42.24
pt_ll_13,-7.5600000000000005,41.76
pt_ll_14,-7.800000000000001,41.58
pt_ll_15,-7.800000000000001,41.58
pt_ll_16,-5.220000000000001,41.04
pt_ll_17,-4.32,41.4
pt_ll_18,-3.24,41.64
pt_ll_19,-3.24,41.64
pt_ll_20,-3.4800000000000004,42.24
pt_ll_21,-3.5999999999999996,42.24
pt_ll_22,-3.84,42.48
pt_ll_23,-3.24,42.84
pt_ll_24,-2.76,42.96
pt_ll_25,-2.5199999999999996,43.2
pt_ll_26,-2.5199999999999996,43.38
pt_ll_27,-2.280000000000001,43.68
pt_ll_28,-3.960000000000001,43.44
pt_ll_29,-4.68,43.02
pt_ll_30,-3.960000000000001,42.66
pt_ll_31,-5.040000000000001,42.24
pt_ll_32,-5.4,42.84
pt_ll_33,-4.32,42.3
pt_ll_34,-5.4,41.88
pt_ll_35,-2.5199999999999996,44.64
pt_ll_5143,-2.040000000000001,44.64
pt_ll_36,-1.08,44.64
pt_ll_37,-0.7200000000000006,45.0
pt_ll_38,0.0,44.64
pt_ll_39,-0.5999999999999996,44.28
pt_ll_40,-2.5199999999999996,41.52
pt_ll_41,-2.5199999999999996,42.84
pt_ll_42,-2.5199999999999996,42.48
pt_ll_43,1.799999999999999,44.4
pt_ll_44,1.4399999999999995,43.8
pt_ll_45,2.039999999999999,43.56
pt_ll_46,2.6999999999999993,42.72
pt_ll_47,3.960000000000001,43.2
pt_ll_48,3.2399999999999984,43.68
pt_ll_49,4.32,43.68
pt_ll_50,6.120000000000001,43.68
pt_ll_51,7.559999999999999,43.56
pt_ll_52,8.280000000000001,43.56
pt_ll_53,9.239999999999998,43.38
pt_ll_5761,1.08,44.4
pt_ll_54,0.5999999999999996,43.92
pt_ll_55,0.35999999999999943,43.56
pt_ll_56,-0.35999999999999943,43.2
pt_ll_57,-0.120000000000001,42.84
pt_ll_58,0.0,42.3
pt_ll_59,-0.7200000000000006,42.0
pt_ll_60,-0.8399999999999999,41.58
pt_ll_61,-0.7200000000000006,41.28
pt_ll_62,-1.08,41.04
pt_ll_63,-2.5199999999999996,40.32
pt_ll_64,-2.040000000000001,40.56
pt_ll_65,-2.280000000000001,39.96
pt_ll_66,-2.5199999999999996,39.6
pt_ll_67,-3.0,39.24
pt_ll_68,-2.16,39.24
pt_ll_69,-1.4399999999999995,39.24
pt_ll_70,-0.8399999999999999,39.24
pt_ll_71,-1.8000000000000007,38.52
pt_ll_72,-3.24,37.98
pt_ll_73,-5.040000000000001,37.8
pt_ll_74,-4.68,37.08
pt_ll_75,-3.24,37.26
pt_ll_76,-2.040000000000001,37.56
pt_ll_77,-0.5999999999999996,37.68
pt_ll_78,-0.5999999999999996,37.92
pt_ll_79,0.35999999999999943,38.16
pt_ll_80,1.3200000000000003,38.16
pt_ll_81,1.799999999999999,38.52
pt_ll_82,2.5199999999999996,38.88
pt_ll_83,9.0,43.2
pt_ll_84,8.64,42.96
pt_ll_85,8.280000000000001,42.96
pt_ll_86,7.559999999999999,42.96
pt_ll_87,6.120000000000001,42.96
pt_ll_88,6.48,42.96
pt_ll_89,6.120000000000001,42.48
pt_ll_90,6.120000000000001,42.3
pt_ll_91,6.48,42.12
pt_ll_92,5.399999999999999,42.12
pt_ll_93,4.68,42.36
pt_ll_94,3.960000000000001,42.12
pt_ll_95,2.879999999999999,42.48
pt_ll_96,2.039999999999999,42.12
pt_ll_97,1.1999999999999993,42.12
pt_ll_98,1.2599999999999998,41.4
pt_ll_99,1.799999999999999,41.04
pt_ll_100,1.9800000000000004,40.8
pt_ll_101,1.799999999999999,40.68
pt_ll_102,1.4399999999999995,40.08
pt_ll_103,1.6799999999999997,40.08
pt_ll_104,1.9800000000000004,39.66
pt_ll_105,1.1999999999999993,39.6
pt_ll_106,1.4399999999999995,39.24
pt_ll_107,2.5199999999999996,38.88
pt_ll_108,0.35999999999999943,43.44
pt_ll_109,1.1999999999999993,43.68
pt_ll_110,0.35999999999999943,42.84
pt_ll_111,0.0,42.72
pt_ll_112,1.08,42.96
pt_ll_113,0.35999999999999943,42.48
pt_ll_114,1.6199999999999992,42.6
pt_ll_115,2.039999999999999,43.2
pt_ll_116,2.16,42.72
pt_ll_5144,3.0599999999999987,43.08
pt_ll_117,3.2399999999999984,42.84
pt_ll_118,3.6000000000000014,42.48
pt_ll_119,1.1999999999999993,42.48
pt_ll_120,3.2399999999999984,42.24
pt_ll_121,1.799999999999999,42.3
pt_ll_122,3.960000000000001,42.84
pt_ll_123,4.68,42.72
pt_ll_124,6.300000000000001,42.72
pt_ll_125,5.940000000000001,42.6
pt_ll_126,3.960000000000001,42.3
pt_ll_127,5.399999999999999,42.48
pt_ll_128,0.0,42.12
pt_ll_129,-0.4800000000000004,41.76
pt_ll_130,1.08,41.76
pt_ll_131,0.35999999999999943,41.58
pt_ll_132,1.08,41.52
pt_ll_133,-0.35999999999999943,41.4
pt_ll_134,0.35999999999999943,41.4
pt_ll_5145,1.08,41.28
pt_ll_135,-0.35999999999999943,41.58
pt_ll_136,1.5600000000000005,40.8
pt_ll_137,-1.2599999999999998,40.8
pt_ll_138,-1.2599999999999998,40.5
pt_ll_5146,-0.7200000000000006,40.86
pt_ll_139,-1.2599999999999998,40.14
pt_ll_140,0.11999999999999922,40.68
pt_ll_141,-0.35999999999999943,39.96
pt_ll_142,1.6199999999999992,40.2
pt_ll_143,0.5999999999999996,39.96
pt_ll_144,1.4399999999999995,39.84
pt_ll_145,1.799999999999999,39.6
pt_ll_146,-1.9800000000000004,39.72
pt_ll_147,-2.16,39.36
pt_ll_148,-1.200000000000001,39.6
pt_ll_149,-0.35999999999999943,39.0
pt_ll_150,0.35999999999999943,39.06
pt_ll_151,1.08,38.88
pt_ll_152,1.799999999999999,38.88
